TrialNumber,Row,Column,Simulated_ThreePatchesLlyod,Simulated_TwoPatchesMerged,Simulated_Array,Simulated_ConditionalResiduals,Simulated_MarginalResiduals,Simulated_TwoPatchesVerified,Estimated_TreeDepth0,Estimated_TreeDepth1,Estimated_TreeDepth2,Estimated_TreeDepth3,Estimated_TreeDepth4,Estimated_TreeDepth5,Estimated_TreeDepth6,Estimated_PatchesIdentified,Estimated_PatchesLocalAuthenticated,Estimated_PatchesLocalVerified,Estimated_PatchesGlobalAuthenticated,Estimated_PatchesGlobalVerified,Estimated_PatchesFinalAuthenticatedAnecdotal,Estimated_PatchesFinalVerifiedAnecdotal,Estimated_PatchesFinalAuthenticatedModerate,Estimated_PatchesFinalVerifiedModerate,Estimated_PatchesFinalAuthenticatedStrong,Estimated_PatchesFinalVerifiedStrong,Estimated_PatchesFinalAuthenticatedVerystrong,Estimated_PatchesFinalVerifiedVerystrong,Estimated_PatchesFinalAuthenticatedDecisive,Estimated_PatchesFinalVerifiedDecisive
Trial46,13,104,0.0,0.0,-1.629019677636693,-1.8615831982802309,-0.1570366479307182,1.0,0.0,2.0,23.0,25.0,28.0,32.0,32.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,13,105,0.0,0.0,5.653674167069898,1.4025988751788998,0.6203968201841095,1.0,0.0,2.0,24.0,35.0,37.0,,,24.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,13,106,1.0,1.0,9.092121638150674,0.1247193764730641,0.9874538734359044,1.0,0.0,2.0,24.0,35.0,38.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,13,107,1.0,1.0,4.69492658258915,-0.8460837245373947,0.5180497387959021,1.0,0.0,2.0,24.0,36.0,39.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,13,108,1.0,1.0,3.297992131517875,0.073951527776926,0.3689258543949675,1.0,0.0,2.0,24.0,36.0,39.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,14,101,0.0,0.0,-3.37624805828623,-1.1903275866622296,-0.3435546931104343,0.0,0.0,2.0,23.0,25.0,27.0,29.0,29.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,14,102,0.0,0.0,-3.590108536938018,0.7472428619850929,-0.366384472469044,0.0,0.0,2.0,23.0,25.0,27.0,30.0,30.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,14,103,0.0,0.0,4.815475803506716,-0.8989998329536016,0.5309184657937566,0.0,0.0,2.0,23.0,25.0,28.0,31.0,31.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,14,104,0.0,0.0,-4.878086574256359,-0.7791791486664646,-0.5038771714290493,1.0,0.0,2.0,23.0,25.0,28.0,32.0,32.0,25.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,14,105,0.0,0.0,3.750811356267048,0.0616086495081454,0.4172646734957724,1.0,0.0,2.0,24.0,35.0,37.0,,,24.0,25.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
Trial46,14,106,1.0,1.0,9.581104874529824,0.7486926309081967,1.0396532300770691,1.0,0.0,2.0,24.0,35.0,38.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Trial46,14,107,1.0,1.0,5.308644722524119,0.3152907330183291,0.5835646474476535,1.0,0.0,2.0,24.0,36.0,39.0,,,24.0,24.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
